Date,Articles Created,Cumulative Total
2004-05-01,38318,38318
2004-06-01,7984,46302
2004-07-01,2438,48740
2004-08-01,1463,50203
2004-09-01,540,50743
2004-10-01,759,51502
2004-11-01,496,51998
2004-12-01,639,52637
2005-01-01,94,52731
2005-02-01,1253,53984
2005-03-01,3040,57024
2005-04-01,1731,58755
2005-05-01,580,59335
2005-06-01,1179,60514
2005-07-01,705,61219
2005-08-01,838,62057
2005-09-01,1392,63449
2005-10-01,1589,65038
2005-11-01,1018,66056
2005-12-01,1785,67841
2006-01-01,1359,69200
2006-02-01,632,69832
2006-03-01,2115,71947
2006-04-01,2897,74844
2006-05-01,2339,77183
2006-06-01,3004,80187
2006-07-01,3385,83572
2006-08-01,2111,85683
2006-09-01,2179,87862
2006-10-01,1930,89792
2006-11-01,1551,91343
2006-12-01,1674,93017
2007-01-01,1493,94510
2007-02-01,1562,96072
2007-03-01,2168,98240
2007-04-01,1290,99530
2007-05-01,2165,101695
2007-06-01,1554,103249
2007-07-01,1545,104794
2007-08-01,2668,107462
2007-09-01,1890,109352
2007-10-01,4834,114186
2007-11-01,2981,117167
2007-12-01,2440,119607
2008-01-01,2704,122311
2008-02-01,3032,125343
2008-03-01,3238,128581
2008-04-01,3087,131668
2008-05-01,6072,137740
2008-06-01,2895,140635
2008-07-01,4676,145311
2008-08-01,12043,157354
2008-09-01,2829,160183
2008-10-01,5914,166097
2008-11-01,4055,170152
2008-12-01,2775,172927
2009-01-01,5694,178621
2009-02-01,7385,186006
2009-03-01,4864,190870
2009-04-01,6118,196988
2009-05-01,6982,203970
2009-06-01,3798,207768
2009-07-01,12171,219939
2009-08-01,5692,225631
2009-09-01,5994,231625
2009-10-01,6297,237922
2009-11-01,6047,243969
2009-12-01,5561,249530
2010-01-01,11810,261340
2010-02-01,8362,269702
2010-03-01,15992,285694
2010-04-01,9699,295393
2010-05-01,5519,300912
2010-06-01,12671,313583
2010-07-01,16631,330214
2010-08-01,27443,357657
2010-09-01,7105,364762
2010-10-01,16756,381518
2010-11-01,18609,400127
2010-12-01,8339,408466
2011-01-01,12585,421051
2011-02-01,10538,431589
2011-03-01,25991,457580
2011-04-01,16361,473941
2011-05-01,10823,484764
2011-06-01,10585,495349
2011-07-01,10422,505771
2011-08-01,18107,523878
2011-09-01,15084,538962
2011-10-01,16647,555609
2011-11-01,29122,584731
2011-12-01,23539,608270
2012-01-01,22043,630313
2012-02-01,11739,642052
2012-03-01,19544,661596
2012-04-01,13444,675040
2012-05-01,23005,698045
2012-06-01,24657,722702
2012-07-01,30013,752715
2012-08-01,17543,770258
2012-09-01,16397,786655
2012-10-01,15797,802452
2012-11-01,15872,818324
2012-12-01,18298,836622
2013-01-01,19739,856361
2013-02-01,49089,905450
2013-03-01,84819,990269
2013-04-01,25770,1016039
2013-05-01,32340,1048379
2013-06-01,37958,1086337
2013-07-01,29185,1115522
2013-08-01,137258,1252780
2013-09-01,228105,1480885
2013-10-01,25783,1506668
2013-11-01,24728,1531396
2013-12-01,35999,1567395
2014-03-01,25052,1592447
2014-04-01,19379,1611826
2014-05-01,37499,1649325
2014-06-01,21395,1670720
2014-07-01,22347,1693067
2014-08-01,322,1693389

2004,52637,52637
2005,15204,67841
2006,25176,93017
2007,26590,119607
2008,53320,172927
2009,76603,249530
2010,158936,408466
2011,199804,608270
2012,228352,836622
2013,730773,1567395
2014,125994,1693389
