From Date,To Date,Publications added this month,Total publications loaded,Invitation emails sent to Mandrill this month,Follow up campaign emails sent to Mandrill this month,Total invitation and follow up campaign emails sent to Mandrill this month,Registrations this month,Registrations this month / Invitation and Follow up emails sent this month,Total registrations,Registration verifications this month,Registration verifications this month / Invitation and Follow up emails sent this month,Total verified registrations
2015-08-01,2015-08-31,234326,2614856,14563,73506,88069,5513,6.26%,64829,20221,22.96%,56860
2015-07-01,2015-07-31,166264,2380530,44326,69845,114171,6822,5.98%,59320,6528,5.72%,36641
2015-06-01,2015-06-30,204940,2214266,20144,52202,72346,4969,6.87%,52500,4760,6.58%,30103
2015-05-01,2015-05-31,214216,2009326,49595,23170,72765,4906,6.74%,47534,2968,4.08%,25335
2015-04-01,2015-04-30,109094,1795110,7177,52157,59334,3340,5.63%,42631,1017,1.71%,22357
2015-03-01,2015-03-31,129510,1686016,42150,125098,167248,7836,4.69%,39291,3112,1.86%,21339
2015-02-01,2015-02-28,131834,1556506,284,38740,39024,1996,5.11%,31455,843,2.16%,18227
2015-01-01,2015-01-31,662550,1424672,0,0,0,451,,29459,313,,17384
2014-12-01,2014-12-31,24325,762122,0,0,0,785,,29008,564,,17071
2014-11-01,2014-11-30,57426,737797,12408,55400,67808,3734,5.51%,28223,2768,4.08%,16507
2014-10-01,2014-10-31,98189,680371,30283,84643,114926,4434,3.86%,24489,3184,2.77%,13739
2014-09-01,2014-09-30,46384,582182,7108,75844,82952,2761,3.33%,20055,1848,2.23%,10555
2014-08-01,2014-08-31,38922,535798,12113,14659,26772,2064,7.71%,17294,1471,5.49%,8707
2014-07-01,2014-07-31,73582,496876,29754,52034,81788,3255,3.98%,15230,2205,2.70%,7236
2014-06-01,2014-06-30,51647,423294,14156,0,14156,3228,22.80%,11975,2379,16.81%,5031
2014-05-01,2014-05-31,153164,371647,80200,0,80200,3109,3.88%,8747,2305,2.87%,2652

